"date","close","volume","open","high","low"
"15:40","19.26","59,302","19.50","19.61","19.1101"
"2019/05/28","19.6500","77470.0000","20.5200","20.6210","19.6300"
"2019/05/24","20.5700","68452.0000","20.2900","20.6200","20.2058"
"2019/05/23","20.1800","71467.0000","20.0600","20.3800","19.9800"
"2019/05/22","20.2100","73241.0000","20.2100","20.5200","20.0500"
"2019/05/21","20.3100","96515.0000","19.6800","20.3300","19.6800"
"2019/05/20","19.6100","92108.0000","19.4500","19.8800","19.4200"
"2019/05/17","19.5600","91592.0000","19.4700","19.9600","19.4700"
"2019/05/16","19.6500","78902.0000","19.6000","19.8800","19.5900"
"2019/05/15","19.5500","81535.0000","19.1800","19.7600","19.0250"
"2019/05/14","19.3700","102665.0000","19.4500","19.7300","19.2900"
"2019/05/13","19.4300","115557.0000","19.1400","19.5900","19.0200"
"2019/05/10","19.4300","72783.0000","19.0500","19.5000","19.0500"
"2019/05/09","19.2200","89715.0000","18.5800","19.2600","18.5000"
"2019/05/08","18.7400","82716.0000","18.6300","19.0600","18.5400"
"2019/05/07","18.6900","179401.0000","18.4000","18.7500","18.3500"
"2019/05/06","18.6100","263116.0000","17.9600","18.7400","17.9600"
"2019/05/03","18.3000","178467.0000","17.9700","18.7200","17.8405"
"2019/05/02","17.7700","280053.0000","16.8500","17.9400","16.5800"
"2019/05/01","17.3100","198595.0000","17.5300","17.7400","17.2500"
"2019/04/30","17.5500","286748.0000","18.5200","18.5800","17.2550"
"2019/04/29","18.4600","132412.0000","18.6700","18.8600","18.3475"
